name,calories,sodium,sugar,carbs,gi,ingredients
Raw Banana Sabzi,150,280,4,30,45,"Raw Banana|Turmeric|Mustard"
Sprouted Moth Bean Fry,170,340,2,20,28,"Moth Beans|Onion|Green Chili"
Khar (Assamese Style),110,310,2,15,30,"Papaya|Pulses|Banana Peel Ash"
Bamboo Shoot Stir-fry,80,210,2,10,20,"Bamboo Shoots|Chili|Garlic"
Iromba (Manipuri Style),120,450,3,15,30,"Fermented Fish|Vegetables|Chili"
Pitha (Steamed),160,150,2,35,60,"Rice Flour|Lentil Stuffing"
Poi Saag (Malabar Spinach),110,240,2,10,25,"Spinach|Garlic|Pancha Phoron"
Cucumber Raita,80,210,4,6,20,"Curd|Cucumber|Roasted Jeera"
Baingan Ka Bharta (No Oil),120,290,5,15,25,"Eggplant|Tomato|Onion"
Singhare ka Atta Halwa (Stevia),210,50,15,35,55,"Water Chestnut Flour|Stevia"
Amaranth (Rajgira) Porridge,180,90,5,35,45,"Amaranth|Milk|Almonds"
Karela Pitla,160,420,4,18,22,"Bitter Gourd|Besan|Garlic"
Stuffed Capsicum (Tofu),190,380,3,12,25,"Bell Pepper|Tofu|Spices"
Garlic Pepper Rasam,50,480,2,8,30,"Tamarind|Black Pepper|Garlic"
Moong Dal Idli,140,280,1,25,45,"Moong Dal|Yogurt|Carrot"
Curd Poha,180,310,4,30,55,"Flattened Rice|Yogurt|Ginger"
Steamed Momos (Veg),180,450,3,35,65,"Wheat Flour|Cabbage|Carrot"
Thukpa (Vegetable),210,550,4,38,50,"Wheat Noodles|Broth|Vegetables"
Baked Samosa (Millet),150,320,2,22,50,"Millet Flour|Peas|Potato"
Chickpea Crepe,180,350,2,20,40,"Besan|Onion|Tomato|Coriander"
Masala Chaas,60,320,2,5,15,"Buttermilk|Ginger|Mint|Cumin"
Roasted Makhana (Curry Flavor),140,250,1,20,45,"Fox Nuts|Turmeric|Curry Leaves"
Veg Clear Soup,70,420,3,10,20,"Cabbage|Carrot|Celery"
Garlic Dal (Lehsun Tadka),190,480,1,25,30,"Toor Dal|Excess Garlic|Chili"
Sprouted Fenugreek Salad,110,180,2,12,15,"Fenugreek Sprouts|Lemon|Jaggery"
Jowar Pancake,170,310,2,30,50,"Sorghum Flour|Yogurt|Chili"
Brown Rice Sweet Pongal (Stevia),210,110,12,42,50,"Brown Rice|Moong Dal|Stevia"
Bhakri (Nachi/Ragi),140,120,1,28,45,"Finger Millet Flour"
Drumstick Poriyal,130,290,4,15,25,"Drumsticks|Coconut|Mustard"
Dahi Bhalla (Steamed),190,550,8,25,55,"Urad Dal|Yogurt|Coriander"
Pundi (Rice Dumplings),170,320,1,38,60,"Rice Rava|Coconut"
Cabbage Kootu,150,410,4,18,35,"Cabbage|Moong Dal|Coconut"
Semolina (Rava) Upma,210,480,3,35,65,"Semolina|Peanuts|Mustard"
Sabudana Khichdi (Healthy),280,380,4,55,70,"Sago|Peanuts|Potato"
Rajma Tikki,190,450,3,25,42,"Kidney Beans|Ginger|Mint"
Moong Dal Chilla,180,320,2,20,42,"Yellow Moong|Spinach|Onion"
Soya Chunk Salad,170,280,3,12,25,"Soya Chunks|Tomato|Cucumber"
Carrot Methi Sabzi,120,250,6,15,35,"Carrot|Fenugreek Leaves"
Fish Baked in Banana Leaf,250,320,1,5,35,"Fish Fillet|Coconut Paste|Spices"
Ambali (Ragi Porridge),140,110,2,30,40,"Ragi|Fermented Curd"
Tomato Omelet (Veg),170,420,4,18,45,"Besan|Tomato|Onion"
Mixed Sprouts Pulao,240,410,3,40,45,"Brown Rice|Mixed Sprouts"
Ghia ka Raita,70,280,4,6,15,"Bottle Gourd|Yogurt|Cumin"
Methi Matar Masala,210,480,6,18,45,"Fenugreek|Peas|Tomato Gravy"
Boiled Peanut Chaat,180,350,3,15,35,"Peanuts|Tomato|Onion|Lemon"
Chana Saag,230,510,4,28,35,"Chickpeas|Spinach|Ginger"
Steamed Paneer Sandesh,130,60,10,15,50,"Paneer|Stevia|Cardamom"
Black Rice Porridge,190,40,3,40,45,"Black Rice|Milk|Nutmeg"
Wheat Grass Juice,40,10,1,8,15,"Wheat Grass"
Dal Dhokli (Whole Wheat),280,580,4,45,55,"Toor Dal|Wheat Flour Strips"
Parwal Mithai (Stevia),140,80,12,22,45,"Pointed Gourd|Chhena|Stevia"
Lobhia curry,210,450,3,30,38,"Black Eyed Peas|Tomato|Onion"
Karela Chips (Air Fried),90,310,2,10,18,"Bitter Gourd|Amchur"
Oats Khichdi,200,420,2,32,50,"Oats|Moong Dal|Vegetables"
Beetroot Cutlet,150,380,7,20,45,"Beetroot|Potato|Peanuts"
Yam (Suran) Stir-fry,180,250,2,35,50,"Yam|Lemon|Green Chili"
Kulthi (Horse Gram) Soup,110,380,1,18,32,"Horse Gram|Garlic|Pepper"
Banana Stem Juice,50,150,2,10,20,"Banana Stem|Lime"
Jackfruit Seed Curry,190,320,4,35,55,"Jackfruit Seeds|Coconut|Ginger"
Palak Kaapa,140,410,2,12,28,"Spinach Paste|Rice Flour|Garlic"
Mandua Ki Roti,160,90,1,32,45,"Ragi Flour (Pahadi Style)"
Chainsoo (Black Gram Dal),210,480,2,28,35,"Roasted Black Gram|Garlic"
Phanu (Mixed Lentils),220,520,3,30,35,"Gahat Dal|Moong Dal"
Siddu (Steamed),250,350,2,45,60,"Wheat Flour|Poppy Seeds Stuffing"
Lingad Ki Sabzi,110,210,3,12,25,"Fiddlehead Fern|Tomato|Garlic"
Poee (Goan Whole Wheat),140,280,1,30,55,"Whole Wheat Bread|Bran"
Amla & Ginger Shot,40,10,2,8,15,"Amla|Ginger|Black Salt|Honey"
Buckwheat (Kuttu) Khichdi,210,320,1,38,45,"Buckwheat|Peanuts|Ginger|Green Chili"
Soya Bhurji,190,450,3,12,30,"Soya Granules|Onion|Tomato|Capsicum"
Drumstick (Moringa) Soup,80,310,2,10,20,"Drumstick|Garlic|Pepper|Cumin"
Ragi Malt (Sugar-free),120,90,1,28,40,"Finger Millet|Buttermilk|Curry Leaves"
Steamed Sprouted Salad,140,180,3,22,25,"Mixed Sprouts|Pomegranate|Cucumber"
Boiled Egg White Curry,160,420,2,8,30,"Egg Whites|Tomato Gravy|Garlic"
Methi Thepla (Oats & Jowar),170,290,2,30,48,"Fenugreek|Oats Flour|Jowar Flour"
Paneer Tikka (Air Fried),220,510,3,6,35,"Paneer|Curd|Bell Peppers"
Daliya Upma,180,390,4,35,45,"Broken Wheat|Peas|Carrots"
Kadhi (No Pakora),150,550,5,18,50,"Besan|Buttermilk|Ginger|Turmeric"
Baked Sweet Potato,110,40,6,24,50,"Sweet Potato|Chaht Masala|Lemon"
Chana Saag (Spinach Chickpeas),210,480,3,28,35,"Chickpeas|Spinach|Ginger"
Steamed Raw Papaya Sabzi,90,210,4,12,35,"Raw Papaya|Mustard Seeds|Chili"
Barley (Jau) Roti,120,80,1,25,35,"Barley Flour"
Millet Curd Rice,180,320,3,32,45,"Kodo Millet|Curd|Pomegranate"
Fish Curry (Malabari),260,550,2,10,40,"Sea Bass|Coconut Milk|Tamarind"
Masoor Dal Soup,130,350,1,20,30,"Red Lentils|Garlic|Lemon"
Garlic Sautéed Mushrooms,110,280,2,8,25,"Button Mushrooms|Garlic|Parsley"
Pumpkin & Flaxseed Stir-fry,140,240,6,18,55,"Pumpkin|Flaxseeds|Turmeric"
Turmeric Golden Milk (Stevia),110,60,1,8,30,"Milk|Turmeric|Black Pepper|Stevia"
Sattu Paratha (Whole Wheat),230,480,2,40,55,"Sattu|Wheat Flour|Ajwain"
Grilled Okra (Bhindi),120,190,3,12,20,"Okra|Amchur|Cumin"
Bajra Khichdi,200,380,2,35,50,"Pearl Millet|Moong Dal|Ghee"
Lauki (Bottle Gourd) Juice,40,150,3,8,15,"Raw Lauki|Mint|Lemon"
Green Moong Dal Chilla,170,310,1,22,42,"Whole Green Moong|Ginger"
Ash Gourd Juice,30,80,2,6,15,"Ash Gourd|Black Pepper"
Walnut & Fig Mix (Small Bowl),160,10,8,12,40,"Walnuts|Dried Figs"
Raw Turmeric Pickle (Salt-free),20,5,1,3,10,"Raw Turmeric|Lemon Juice"
Kand (Purple Yam) Tikki,150,290,3,32,50,"Purple Yam|Peanuts|Lemon"
Mixed Veg Paratha (Oats Base),190,350,3,28,48,"Oats Flour|Gobi|Methi"
Cucumber & Peanut Salad,130,210,3,8,25,"Cucumber|Roasted Peanuts|Lemon"
Soya Milk Curd,90,40,2,6,20,"Soya Milk"
Steamed Cabbage Rolls,120,310,4,15,35,"Cabbage|Paneer Stuffing"
Brown Rice Idli,140,280,1,30,55,"Brown Rice|Urad Dal"
Tulsi & Neem Tea,10,0,0,1,5,"Tulsi|Neem|Ginger"
Peanut Butter & Celery,160,110,3,10,35,"Peanut Butter|Celery Sticks"
Roasted Black Chana,150,220,2,22,30,"Roasted Gram"
Carrot & Beetroot Kanji,60,450,6,12,30,"Carrots|Beetroot|Mustard Powder"
Sprouted Ragi Dosa,160,290,1,32,45,"Sprouted Ragi Flour"
Vegetable Stew (Kerala Style),180,380,5,22,45,"Carrots|Beans|Coconut Milk"
Tofu Bhurji,160,410,2,8,25,"Tofu|Turmeric|Onion|Tomato"
Whole Wheat Pasta (Veg),210,450,4,38,50,"Whole Wheat Pasta|Broccoli|Zucchini"
Amaranth (Rajgira) Roti,140,90,1,28,45,"Amaranth Flour"
Lobiya (Black Eyed Peas) Soup,150,380,2,22,32,"Lobiya|Tomato|Garlic"
Baked Beetroot Chips,90,150,8,18,40,"Beetroot|Sea Salt"
Makhana Kheer (Stevia),160,80,12,25,50,"Fox Nuts|Milk|Stevia"
Stir-fried Broccoli & Almonds,140,210,3,10,25,"Broccoli|Sliced Almonds"
Ajwain Water,5,10,0,1,5,"Carom Seeds"
Garlic Roasted Peanuts,170,180,2,10,20,"Peanuts|Garlic|Curry Leaves"
Besan Kadhi with Spinach,170,520,4,20,50,"Besan|Buttermilk|Spinach"
Steamed Sprouts Momos,180,420,3,32,55,"Wheat Flour|Mixed Sprouts"
Moong Dal Payasam (Stevia),190,110,14,28,50,"Yellow Moong|Coconut Milk|Stevia"
Palak Soup (No Cream),90,350,3,10,20,"Spinach|Garlic|Onion"
Air-fried Karela Strips,110,240,2,12,18,"Bitter Gourd|Dry Mango Powder"
Oats & Apple Porridge,210,90,14,38,55,"Oats|Milk|Apple|Cinnamon"
Mint & Coriander Chutney,30,280,1,4,15,"Mint|Coriander|Lemon|Chili"
Kodo Millet Pulao,220,390,3,40,48,"Kodo Millet|Vegetables"
Boiled Sweet Corn,130,20,5,28,55,"Sweet Corn|Lemon|Pepper"
Jowar Ladoo (Dates-sweetened),160,40,12,30,50,"Jowar|Dates|Sesame"
Garlic & Chili Steamed Fish,240,350,1,4,35,"White Fish|Garlic|Red Chili"
Methi Matar Malai (Low Fat),210,480,7,18,45,"Fenugreek|Peas|Cashew Paste"
Pomegranate & Mint Curd,110,150,10,12,35,"Curd|Pomegranate"
Roasted Pumpkin Seeds,160,10,1,4,25,"Pumpkin Seeds"
Dahi Papaya Salad,110,180,8,12,35,"Raw Papaya|Yogurt|Mustard"
Baked Soya Nut,140,210,2,10,30,"Soybeans"
Kulthi (Horse Gram) Dal,180,410,1,25,32,"Horse Gram|Garlic|Tomato"
Steamed Vegetable Dumplings,150,380,3,28,50,"Rice Flour|Mixed Veggies"
Karela & Onion Stir-fry,130,240,5,15,22,"Bitter Gourd|Onion|Cumin"
Millet Bread Toast,160,280,2,28,55,"Millet Bread"
Sesame & Flaxseed Chutney,80,150,1,6,30,"Sesame|Flaxseed|Garlic"
Brahmi Tea,10,0,0,1,5,"Brahmi Leaves"
Poached Eggs with Spinach,170,320,1,6,30,"Eggs|Spinach|Black Pepper"
Apple & Walnut Salad,180,40,14,22,45,"Apple|Walnut|Lemon Juice"
Mixed Dal Khichdi,210,420,2,35,45,"Toor Dal|Moong Dal|Rice"
Grilled Tofu Skewers,170,380,2,8,25,"Tofu|Bell Peppers|Curd"
Cholai (Amaranth) Saag,120,250,2,12,25,"Amaranth Leaves|Garlic"
Boiled Peanut & Corn Chaat,190,340,4,22,40,"Peanuts|Corn|Lemon"
Beetroot & Curd Dip,90,180,6,10,30,"Beetroot|Yogurt"
Barley & Veg Broth,140,390,3,28,35,"Barley|Carrot|Celery"
Roasted Paneer Cubes,210,380,2,6,35,"Paneer|Turmeric"
Lauki (Bottle Gourd) Halwa (Stevia),130,90,10,20,45,"Lauki|Milk|Stevia"
Cabbage & Moong Dal Stir-fry,140,310,4,18,35,"Cabbage|Moong Dal"
Whole Wheat Vermicelli Upma,190,420,4,32,55,"Wheat Vermicelli|Vegetables"
Grilled Prawns,210,480,0,2,40,"Prawns|Lemon|Garlic"
Sprouted Salad with Lemon,130,190,3,20,25,"Green Moong|Onion|Tomato"
Masala Buttermilk,50,310,2,4,15,"Buttermilk|Roasted Jeera"
Baked Cauliflower Florets,110,250,3,10,30,"Cauliflower|Spices"
Ragi & Oats Pancake,180,290,4,30,48,"Ragi|Oats|Yogurt"
Steamed Ivy Gourd (Kundru),110,210,3,12,25,"Ivy Gourd|Garlic"
